Model,Split,Feature,Importance
XGBoost,Random,province_21,0.005337870679795742
XGBoost,Random,province_22,0.0004433942085597664
XGBoost,Random,province_23,0.008690273389220238
XGBoost,Random,province_24,0.004778712522238493
XGBoost,Random,province_25,0.0
XGBoost,Random,province_26,0.0023599385749548674
XGBoost,Random,province_27,0.0037096235901117325
XGBoost,Random,province_28,0.0
XGBoost,Random,province_29,0.0
XGBoost,Random,sub_program_1,0.0
XGBoost,Temporal,growth_season,0.027832861989736557
XGBoost,Temporal,region,0.0013353460235521197
XGBoost,Temporal,province,0.00373239372856915
XGBoost,Temporal,longitude,0.004871819633990526
XGBoost,Temporal,latitude,0.03506842255592346
XGBoost,Temporal,sub_program,0.0027558510191738605
XGBoost,Temporal,crop,0.03295764699578285
XGBoost,Temporal,previous_crop,0.006277022417634726
XGBoost,Temporal,soil_ph,0.003270638408139348
XGBoost,Temporal,organic_matter_percent,0.003056491259485483
XGBoost,Temporal,phosphorus_ppm,0.0018631645943969488
XGBoost,Temporal,potassium_ppm,0.0031203855760395527
XGBoost,Temporal,electrical_conductivity,0.038915883749723434
XGBoost,Temporal,npk_nitrogen,0.0013264400186017156
XGBoost,Temporal,npk_phosphorus_p2o5,0.0011103582801297307
XGBoost,Temporal,npk_potassium_k2o,0.0020083580166101456
XGBoost,Temporal,npk_magnesium_mgo,0.0007602140540257096
XGBoost,Temporal,npk_calcium_cao,0.000605061708483845
XGBoost,Temporal,electrical_conductivity_encoded,0.0
XGBoost,Temporal,climate_zone,0.0002565477625466883
XGBoost,Temporal,soil_health_index,0.002580700907856226
XGBoost,Temporal,soil_fertility_index,0.007183854002505541
XGBoost,Temporal,crop_rotation_cycle,0.0010954124154523015
XGBoost,Temporal,nutrient_availability_index,0.006313306745141745
XGBoost,Temporal,soil_ph_category,0.0
XGBoost,Temporal,low_phosphorus_stress,0.0
XGBoost,Temporal,high_conductivity_stress,0.0
XGBoost,Temporal,crop_soil_interaction,0.0014329991536214948
XGBoost,Temporal,npk_interaction,0.004683253820985556
XGBoost,Temporal,geo_cluster,0.00011889966117450967
XGBoost,Temporal,soil_ph_median,0.0
XGBoost,Temporal,npk_nitrogen_median,0.0
XGBoost,Temporal,npk_phosphorus_p2o5_median,0.0
XGBoost,Temporal,npk_potassium_k2o_median,0.0
XGBoost,Temporal,longitude_cos,0.008830711245536804
XGBoost,Temporal,latitude_cos,0.0
XGBoost,Temporal,previous_crop_1,4.760016599902883e-05
XGBoost,Temporal,previous_crop_2,0.013967756181955338
XGBoost,Temporal,previous_crop_3,0.0
XGBoost,Temporal,previous_crop_4,0.0
XGBoost,Temporal,previous_crop_5,0.00432956125587225
XGBoost,Temporal,previous_crop_6,0.004069681745022535
XGBoost,Temporal,previous_crop_7,0.001445298083126545
XGBoost,Temporal,previous_crop_8,0.0
XGBoost,Temporal,previous_crop_9,0.00034350663190707564
XGBoost,Temporal,previous_crop_10,0.002211601473391056
XGBoost,Temporal,previous_crop_11,0.0004952843300998211
XGBoost,Temporal,previous_crop_12,0.0008170662331394851
XGBoost,Temporal,previous_crop_13,0.0
XGBoost,Temporal,previous_crop_14,7.915591027085611e-07
XGBoost,Temporal,previous_crop_15,0.0019111738074570894
XGBoost,Temporal,previous_crop_16,0.0015916225966066122
XGBoost,Temporal,previous_crop_17,0.0
XGBoost,Temporal,previous_crop_18,0.0004454282170627266
XGBoost,Temporal,previous_crop_19,0.0020626219920814037
XGBoost,Temporal,previous_crop_20,0.005016809795051813
XGBoost,Temporal,previous_crop_21,0.0
XGBoost,Temporal,previous_crop_22,0.0010950978612527251
XGBoost,Temporal,previous_crop_23,0.00011209199146833271
XGBoost,Temporal,previous_crop_24,1.2830198556912364e-06
XGBoost,Temporal,previous_crop_25,0.0004401005571708083
XGBoost,Temporal,previous_crop_26,0.002269812859594822
XGBoost,Temporal,previous_crop_27,0.0
XGBoost,Temporal,previous_crop_28,0.0026069062296301126
XGBoost,Temporal,previous_crop_29,0.0
XGBoost,Temporal,previous_crop_30,0.14050084352493286
XGBoost,Temporal,previous_crop_31,0.001072040176950395
XGBoost,Temporal,previous_crop_32,0.0020498200319707394
XGBoost,Temporal,previous_crop_33,0.0
XGBoost,Temporal,previous_crop_34,0.0
XGBoost,Temporal,previous_crop_35,0.0
XGBoost,Temporal,previous_crop_36,0.0
XGBoost,Temporal,previous_crop_37,0.0
XGBoost,Temporal,region_1,0.0006598036852665246
XGBoost,Temporal,region_2,0.0
XGBoost,Temporal,region_3,0.478092223405838
XGBoost,Temporal,region_4,0.0001294782559853047
XGBoost,Temporal,region_5,0.0
XGBoost,Temporal,region_6,0.017892032861709595
